,location,country_code,latitude,longitude,confirmed,dead,recovered,updated
7827,Boa Vista da Aparecida,br,-25.4338346,-53.4074672,1,0.0,,2020-05-19 19:47:45.946657+00:00
7828,São João Nepomuceno,br,-21.5367935,-43.0129853,3,1.0,,2020-05-19 19:48:11.312362+00:00
7829,"Talbot County, Georgia",us,32.6891322,-84.5222189,30,1.0,,2020-05-19 19:45:20.115934+00:00
7830,"Gibson County, Indiana",us,38.3338249,-87.5791287,10,0.0,,2020-05-19 19:45:20.115934+00:00
7831,"Cleveland County, North Carolina",us,35.361354,-81.6035062,55,2.0,,2020-05-19 19:45:20.115934+00:00
7832,Son en Breugel,nl,51.511394,5.498219199999999,31,,,2020-05-19 19:46:57.129304+00:00
7833,"Polk County, Nebraska",us,41.1526688,-97.56805949999999,9,0.0,,2020-05-19 19:45:20.115934+00:00
7834,Cidreira,br,-30.1769388,-50.2089142,2,1.0,,2020-05-19 19:47:51.325061+00:00
7835,"Cumberland County, North Carolina",us,34.9542604,-78.74762079999999,471,12.0,,2020-05-19 19:45:20.115934+00:00
7836,"Watauga County, North Carolina",us,36.1941825,-81.73494199999999,11,0.0,,2020-05-19 19:45:20.115934+00:00
7837,Esperança do Sul,br,-27.3631077,-53.9899597,3,1.0,,2020-05-19 19:47:53.539449+00:00
7838,Jutaí,br,-4.4008685,-68.52471489999999,55,5.0,,2020-05-19 19:47:58.777630+00:00
7839,Paragominas,br,-3.0026165,-47.3530977,134,3.0,,2020-05-19 19:48:03.781436+00:00
7840,Porto Alegre,br,-30.0346471,-51.2176584,603,24.0,,2020-05-19 19:48:05.692445+00:00
7841,"Merrimack County, New Hampshire",us,43.2844846,-71.6673352,282,12.0,,2020-05-19 19:45:20.115934+00:00
7842,"Mahoning County, Ohio",us,40.9871753,-80.7214417,1226,148.0,,2020-05-19 19:45:20.115934+00:00
7843,"Shelby County, Texas",us,31.8343021,-94.15137639999999,175,5.0,,2020-05-19 19:45:20.115934+00:00
7844,São José do Divino,br,-18.4802473,-41.3884078,4,1.0,,2020-05-19 19:48:11.188800+00:00
7845,"York County, Virginia",us,37.2103925,-76.3868797,63,3.0,,2020-05-19 19:45:20.115934+00:00
7846,São José do Piauí,br,-6.810169699999999,-41.4812771,2,0.0,,2020-05-19 19:48:11.218003+00:00
7847,Zoeterwoude,nl,52.1208305,4.5165697,3,,,2020-05-19 19:46:57.836366+00:00
7848,Andradas,br,-22.0738291,-46.5547852,1,0.0,,2020-05-19 19:47:42.723309+00:00
7849,Belford Roxo,br,-22.7645391,-43.3996264,494,52.0,,2020-05-19 19:47:45.542042+00:00
